Dive Number,GF Minimum,GF Maximum,Surface Interval (min),Imperial Units,Start Battery Voltage,Start CNS %,Start Date,Start External O2 Sensor Status,Start Low Set Point,Start High Set Point,Computer Firmware Version,Max Depth,Max Time,Error History,End Battery Voltage,End CNS,End Date,End External O2 Sensor Status,End Low Set Point,End High Set Point,Computer Serial Number,Computer Firmware Version,Computer Model,Log Version,Deco Model,VPM-B Conservatism,Start Surface Pressure,End Surface Pressure,Product
317,60,85,1308,FALSE,1.5,0,25/05/2026 14:24,FALSE,0,1,93,30.1,2739,,1.4,13,25/05/2026 15:10,FALSE,0,1,340DB72E,93,2,14,GF,60/85,1028,1028,Perdix AI
Time (sec),Depth,First Stop Depth,Time To Surface (min),Average PPO2,Fraction O2,Fraction He,First Stop Time,Current NDL,Current Circuit Mode,Current CCR Mode,Water Temp,Gas Switch Needed,External PPO2,Set Point Type,Circuit Switch Type,External O2 Sensor 1 (mV),External O2 Sensor 2 (mV),External O2 Sensor 3 (mV),Battery Voltage,Tank 1 pressure (PSI),Tank 2 pressure (PSI),Tank 3 pressure (PSI),Tank 4 pressure (PSI),Gas Time Remaining,SAC Rate (2 minute avg),Ascent Rate,Safe Ascent Depth,CO2mbar,
500,26.5,0,3,0.8,0.22,0,0,11,1,0,13,FALSE,TRUE,0,0,0,0,199,1.43,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
510,24.5,0,3,0.76,0.22,0,0,11,1,0,13,FALSE,TRUE,0,0,0,0,199,1.43,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
520,25.2,0,3,0.77,0.22,0,0,13,1,0,13,FALSE,TRUE,0,0,0,0,199,1.43,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
530,25.5,0,3,0.78,0.22,0,0,11,1,0,13,FALSE,TRUE,0,0,0,0,199,1.43,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
540,26.4,0,3,0.8,0.22,0,0,10,1,0,13,FALSE,TRUE,0,0,0,0,199,1.43,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
550,28,0,3,0.83,0.22,0,0,9,1,0,13,FALSE,TRUE,0,0,0,0,199,1.43,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
560,27.3,0,3,0.82,0.22,0,0,8,1,0,13,FALSE,TRUE,0,0,0,0,199,1.43,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
570,26.9,0,3,0.81,0.22,0,0,8,1,0,13,FALSE,TRUE,0,0,0,0,199,1.43,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
580,26.9,0,3,0.81,0.22,0,0,8,1,0,13,FALSE,TRUE,0,0,0,0,199,1.43,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
590,27.1,0,3,0.81,0.22,0,0,8,1,0,13,FALSE,TRUE,0,0,0,0,199,1.43,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
